SHIPMENT_XID,START_TIME,TOTAL_SHIP_UNIT_COUNT,TOTAL_WEIGHT,TOTAL_VOLUME,FIRST_EQUIPMENT_GROUP_GID,PRINCIPAL,DestName,Region,City,DestZone1,DestZone2,Segment
00361561,2019-03-21 08:10:26,60,15000.0,19.38,LFL/TMS/MYS.20T_BOX,UNILEVER,JULIE'S MANUFACTURING SDN BHD,MELAKA,MELAKA,MLK-001,SOUTH,DT-OUTSTATION
00362417,2019-03-24 23:00:00,1058,10069.075175000002,30.735929999999996,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00362419,2019-03-24 23:00:00,1427,10369.858332,26.523235999999997,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00362883,2019-03-27 00:00:00,578,9499.233761,25.084077999999998,LFL/TMS/MYS.20T_BOX,UNILEVER,TIARAN SDN BHD,SELANGOR,KAJANG,KLV-003,CENTRAL,DT-LOCAL
00362247,2019-03-21 07:00:00,1153,13124.733180999998,185.65902200000002,LFL/TMS/MYS.20T_BOX,UNILEVER,M C MOK SDN BHD,NEGERI SEMBILAN,SEREMBAN,NSN-001,SOUTH,DT-OUTSTATION
00363358,2019-03-25 16:01:00,470,3399.74774,7.16372,LFL/TMS/MYS.20T_BOX,UNILEVER,WATSON,SELANGOR,SHAH ALAM,KLV-001,CENTRAL,IMT-NS
00363382,2019-03-26 07:00:00,329,3565.025102,6.631988,LFL/TMS/MYS.10T_BOX,UNILEVER,PROSPECT PLUS TRADING SDN BHD,JOHOR,KLUANG,JNT-005,SOUTH,DT-OUTSTATION
00361570,2019-03-21 11:00:00,917,6272.155664000002,15.793842999999997,LFL/TMS/MYS.20T_BOX,UNILEVER,AEON DC,SELANGOR,BANDAR BARU BANGI,KLV-003,CENTRAL,IMT-NS
00362763,2019-03-25 23:00:00,1059,10018.729487,25.12285,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00362899,2019-03-27 07:00:00,1348,15908.452239,29.943022000000003,LFL/TMS/MYS.20T_BOX,UNILEVER,BOSTAN TRADING SDN BHD,MELAKA,BATU BERENDAM,MLK-003,SOUTH,DT-OUTSTATION
